branch  branch_descendants      Outgroup        i       c       s       iw      mw      t
b2      i,c     nan     nan     nan     nan     nan     nan     nan
b3      s,iw,mw,t       nan     nan     nan     nan     nan     nan     nan
b4      i       nan     nan     nan     0       0       0       0
b5      c       nan     nan     nan     1.0608  2.17729 2.4024  2.35396
b6      iw,mw,t nan     2.0982  4.42978 nan     nan     nan     nan
b7      s       nan     0       0       nan     nan     nan     nan
b8      mw,t    nan     0       0       0.0906639       nan     nan     nan
b9      iw      nan     1.923   1.86904 0       nan     nan     nan
b10     mw      nan     0       0       0.0525919       0       nan     nan
b11     t       nan     0.596227        1.52161 0       2.08444 nan     nan
