P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
iw	i	c	0.0277511	0.603699	0.273022	0.0878734	99.7711	132.729	125.561
mw	i	c	0.0797905	1.46966	0.070827	0.22163	96.1283	143.843	122.584
i	c	s	0.0740698	1.0608	0.14439	0.0489653	167.883	112.16	96.6905
t	i	c	0.0443074	0.906724	0.182276	0.137115	98.4581	140.956	128.995
mw	iw	c	0.0737196	2.91848	0.00175872	0.146828	179.094	102.696	88.5944
c	s	iw	0.0196743	0.496113	0.309907	0.0482669	85.5504	139.558	134.173
t	iw	c	0.0256559	0.819599	0.206222	0.05538	188.852	96.7284	91.8893
c	s	mw	0.0762676	2.0464	0.0203584	0.206965	90.4635	145.623	124.984
mw	t	c	0.0478728	1.52161	0.0640536	0.096419	186.091	101.338	92.0786
c	s	t	0.0390555	0.962962	0.167783	0.0418213	90.4875	145.182	134.268
mw	iw	i	0.0805287	2.60159	0.00463958	0.023171	201.113	99.0018	84.2451
i	s	iw	0.108333	2.17074	0.0149752	0.231128	89.9349	159.314	128.17
t	iw	i	0.0533793	1.24442	0.106673	0.0151263	211.687	94.1295	84.5896
s	mw	i	0.108542	2.0982	0.0179435	0.0356691	166.928	119.893	96.4147
mw	t	i	0.028584	0.596227	0.275512	0.00821587	208.98	93.8609	88.6442
s	t	i	0.132225	2.61625	0.00444503	0.0435284	164.206	122.857	94.1618
iw	mw	s	0.00619049	0.205384	0.418636	0.00466407	163.283	93.5538	92.4027
iw	t	mw	0.0155429	0.574276	0.282891	0.30186	127.181	114.971	111.452
iw	t	s	0.00380147	0.0906639	0.46388	0.00277428	176.268	90.5802	89.8942
t	mw	s	0.00242257	0.0525919	0.479029	0.00188705	169.313	96.2246	95.7595
