#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.rep3" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.rep3" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.rep3" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.rep3" spec="snap.Data">
#                    <taxonset id="A_coerulescens" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_coerulescens_396256" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_coerulescens_396265" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_californica" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_californica_393615" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_californica_333855" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_sumichrasti" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_sumichrasti_343510" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_sumichrasti_343502" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_insularis" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_insularis_334025" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_insularis_334029" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_woodhouseii_us" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_woodhouseii_334096" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_woodhouseii_334188" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_texana" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_woodhouseii_334244" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_woodhouseii_334230" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_woodhouseii_mex" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_woodhouseii_343480" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_woodhouseii_393698" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.rep3" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.rep3" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.rep3" id="treeLikelihood.rep3" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.rep3">
#            <siteModel id="MutationSiteModel.rep3" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	theta11	theta12	TreeHeightLogger
0	-14525.582323838356	-13835.60499374457	-689.9773300937875	1.0	1.0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	1.9963659843110843E-9
1000	-10761.145174159336	-10087.621296827567	-673.5238773317692	15.314709956760852	0.5168751194407225	0.06533006101690421	0.21928909939495317	0.02859978192414916	0.04210531154367381	0.17862793998145193	0.1099197802936847	0.14570000999477997	0.06248025855688476	0.10180972487179867	0.12241070241592679	0.14821891921002484	0.30924444737945894	0.035428271295826624	0.041785936866601016
2000	-10656.089544953044	-10004.212487653556	-651.8770572994873	15.218203005998129	0.5169857692476532	0.08323606420134043	0.1851651313307842	0.04586260016171236	0.04302096750560648	0.17345830598782105	0.102870489369909	0.19076455212694585	0.03406879533178847	0.10671181858109623	0.07528380540595632	0.1814250596066768	0.15493057397579382	0.08614292585263753	0.039577225116062334
3000	-10625.75310626103	-9977.344675941476	-648.408430319554	13.634711095655176	0.5190335362673258	0.0911085147984822	0.15925658793464423	0.09271179766229827	0.03743358330597949	0.08535379685993824	0.11858922259421809	0.18910192493656378	0.05386375965872302	0.14846080528837188	0.1508903087073269	0.21056679879813237	0.21426202414555526	0.07238049037019982	0.057022216231969465
4000	-10614.798361805311	-9975.320841143464	-639.4775206618464	13.52950711943809	0.5191872184963188	0.09270827771596274	0.10850066319678991	0.11826257524883636	0.03469915927883352	0.10624139078094016	0.09558140408771408	0.13807487551939096	0.06523062968945464	0.09815430961494334	0.1544216602830548	0.17954757645559502	0.12999949088524929	0.10022434495777477	0.05419334133616409
5000	-10604.016678423211	-9954.21183199612	-649.8048464270917	14.118613025627898	0.5183572291487791	0.08856346895063427	0.20359120075343776	0.11455998838894561	0.035554255299444636	0.1502061751519141	0.06701892104359072	0.19428401923518368	0.05014149158297362	0.11513231723084202	0.11296138797520862	0.19842492041079754	0.15513621303036743	0.06946637892464458	0.05607704873942884
6000	-10608.56683316708	-9965.644368791367	-642.9224643757127	13.659244756681655	0.5189980507713454	0.0824118928074831	0.17956836231575088	0.08556932759661308	0.04544990705440607	0.13512696427213347	0.08033785627680386	0.16113244481437666	0.05992976735526469	0.12922367625439296	0.06359742462307619	0.15695410318293385	0.13495078486745482	0.06794204507416837	0.049538328665597604
7000	-10605.739615825682	-9961.263236683315	-644.476379142366	13.144621663623456	0.5197712518927482	0.09125104716990359	0.20594772793277225	0.09985402646820364	0.0506128868597993	0.16405739303549713	0.0608964173510163	0.11652816141625186	0.05915278663143182	0.14653991796618923	0.0994678139258777	0.19573584068205388	0.15432080263606834	0.07544864374070648	0.057359003220062
8000	-10608.546601111779	-9955.379043858322	-653.1675572534576	13.201608055952446	0.5196825471939233	0.08712606827367483	0.1864737501052836	0.10740426179856391	0.0449496977664789	0.0597098158322129	0.06561286168184939	0.11155020361725893	0.068236295994411	0.10158323694231781	0.050341599204391366	0.2516803375251358	0.17734478150099586	0.06404973705784266	0.05626197286036699
9000	-10600.37728137887	-9955.583136090423	-644.7941452884469	13.27913525845184	0.5195631390500116	0.08740856763977933	0.16708362239686692	0.11730624820759367	0.043853295134730116	0.10191542391660098	0.05548234549567575	0.10368677780791145	0.045880159228596756	0.11760259481910666	0.10567019666344599	0.19093392868399603	0.16350276370613115	0.08440990260136885	0.059152171293324306
10000	-10605.485492989697	-9960.969041531405	-644.5164514582914	14.767965523917589	0.5175217692796441	0.08823376954406777	0.16254829305185886	0.11755122181404466	0.042010263128250576	0.08661949523319958	0.07081226451399755	0.15247997163460478	0.05201829171181926	0.0880713501101948	0.07947227975232439	0.19671683882855248	0.12395230130197364	0.07657034662653826	0.05617371219721106
11000	-10600.50904902694	-9953.313657184854	-647.1953918420858	13.72021469364505	0.5189104341943989	0.09019482865016351	0.18211328114964379	0.1106802050363981	0.03858003494948429	0.12201288637555206	0.08149537127259558	0.11436226160524776	0.05657659536027059	0.11851850311724271	0.0990607313574784	0.2669935729151893	0.20105886539040219	0.09638308941611021	0.05348377242184179
12000	-10608.509171139875	-9960.897272688395	-647.6118984514801	14.029990750006966	0.518477470134255	0.08397693077793622	0.18207954728836784	0.08927033561635425	0.03741404989368838	0.1191299090785584	0.07431191852927914	0.07941279546274972	0.033112103193596996	0.11752477599623815	0.18134214149205946	0.13419192850581593	0.1622412708960385	0.13978699261483557	0.04914549792989644
