#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="snapprior.rep5" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <parameter id="lambda" lower="0.0" name="lambda" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <tree clusterType="upgma" id="Tree.rep5" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.rep5" spec="snap.Data">
#                    <taxonset id="A_coerulescens" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_coerulescens_396254" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_coerulescens_396251" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_californica" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_californica_333914" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_californica_342037" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_sumichrasti" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_sumichrasti_343511" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_sumichrasti_343502" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_insularis" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_insularis_334038" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_insularis_334037" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_woodhouseii_us" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_woodhouseii_334171" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_woodhouseii_334142" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_texana" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_woodhouseii_334230" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_woodhouseii_334243" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="A_woodhouseii_mex" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="A_woodhouseii_395768" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="A_woodhouseii_393697" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="lambdaPrior.rep5" name="distribution" x="@lambda">
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <prior id="uPrior.rep5" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.rep5" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.rep5" id="treeLikelihood.rep5" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.rep5">
#            <siteModel id="MutationSiteModel.rep5" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	theta11	theta12	TreeHeightLogger
0	-16622.27712071502	-15933.475150830272	-688.801969884749	1.0	1.0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.17126893201701598	0.2	0.2	0.2	0.2	5.0E-10
1000	-12702.851056747406	-12027.185277127395	-675.6657796200107	11.208857999089782	0.5233451596819426	0.05033466625963469	0.117989070637261	0.0363024258338167	0.020086522713669126	0.1278712416666544	0.023227059462634723	0.08576080769777303	0.21489555954756132	0.12445892818211533	0.25205563072668946	0.12104789736855966	0.15070485209282156	0.2149275850936363	0.0207787610629314
2000	-12417.79761583043	-11761.89524745265	-655.902368377779	13.318359477269532	0.5195032757852764	0.11345117916397139	0.14855402080392807	0.1152225574601954	0.04667413421159523	0.1273519641144023	0.04419426636370421	0.11852979779222438	0.06049192583298748	0.036836010974260265	0.17351394642020618	0.2862077810233099	0.07994029805022551	0.1427850540499655	0.05055360005852456
3000	-12412.943392676103	-11762.784065221409	-650.1593274546942	11.385788677777457	0.5229657223192616	0.10158070613531446	0.13150299336313895	0.10501623777047468	0.04698762452675766	0.1155523471154847	0.06787562953502665	0.10288803333573955	0.05899310547653391	0.0583712968892055	0.1637356108665531	0.30507308948253314	0.1899740376586358	0.12004886429298658	0.05769850898627152
4000	-12416.745607166697	-11764.077402704244	-652.6682044624514	11.0705825271553	0.5236505414302156	0.09515419007116509	0.1538564923512074	0.1289093166876385	0.05358943649950612	0.20795122088157406	0.055374740871079235	0.17151762117039002	0.10263522204412362	0.06326134274986107	0.09784046360527901	0.27218916860276565	0.05505998128438331	0.06025862795420027	0.06257525472361318
5000	-12411.603765823214	-11757.030108604602	-654.5736572186116	12.732487854074456	0.5204373797858894	0.09446566726788258	0.16251103609696882	0.10977587392202368	0.052214685109670034	0.14204460099402336	0.05212999915177443	0.19695225667880256	0.06833631639916948	0.062429878024286664	0.10692660127569815	0.30181328402502017	0.18434684882915986	0.060026654456994476	0.06325884155921786
6000	-12405.941954464646	-11754.69863462084	-651.2433198438065	11.698355909209065	0.5223247057002725	0.10274080018621624	0.1541570043201361	0.12562217596033665	0.05118929048596419	0.12250509772636359	0.06183521458834835	0.1486314003878783	0.0719283576052016	0.038097460288510986	0.1086814700195693	0.30517307229114754	0.07755665039116846	0.12337201032925807	0.05429691485641146
7000	-12409.803096506723	-11752.932139990593	-656.8709565161297	12.661962086976033	0.5205558937128837	0.10392327386941927	0.15578532784976046	0.10878749158689066	0.05164552793976187	0.24919294588230134	0.06923063022246857	0.12507741573293527	0.0720799129786214	0.05859432989517832	0.22617869676486996	0.30593822014376554	0.18827039625217012	0.0871609528298475	0.056284913975326326
8000	-12411.93743053125	-11759.72708980185	-652.2103407293993	12.435583727533047	0.5209457707060694	0.10386670054510495	0.20991807485712527	0.10252066167104154	0.06332746526164623	0.1753943421885524	0.06125590557698484	0.16098412654880692	0.07530044489804671	0.04650316218536537	0.09631377159617902	0.24852181783133573	0.09040998004374923	0.06645421524491793	0.06311963375402618
9000	-12405.087200935755	-11762.788003474128	-642.2991974616265	12.034275456508503	0.5216745300511209	0.09785875565418699	0.15109875657561853	0.12617774046819455	0.042055169637009046	0.1494885115099315	0.081454349367687	0.14072782044813456	0.10816816233103149	0.0686692973948252	0.10737285101672989	0.22301277524803248	0.07071479450868583	0.11007681185213904	0.06022762459874929
10000	-12406.004290456203	-11757.653207094278	-648.351083361926	12.034275456508503	0.5216745300511209	0.0992033364184854	0.18059869335034515	0.09883477565551467	0.045599362011888724	0.22375265907987127	0.07585413329341895	0.1821415886833113	0.04980789871179723	0.08504747053980763	0.1645220233478787	0.18942302801547278	0.15011346269138784	0.08156744659415682	0.06343224797059778
11000	-12402.259493516409	-11757.6093050837	-644.6501884327074	12.16043331514968	0.5214400265618937	0.10651911629357906	0.1465294445377591	0.12324344935918413	0.04781603329003613	0.18058364722107445	0.07870865862635593	0.19609843823918152	0.08322541347298668	0.0669866081908486	0.1030733885080303	0.23399838681979906	0.09576665493544921	0.10487106931443145	0.06296972945059623
12000	-12407.525069023699	-11762.064909790453	-645.4601592332464	12.248111436169118	0.521280016056906	0.09211769564980331	0.14902975607211022	0.12617201572742534	0.04528047874286414	0.17203542476282918	0.07613597755918618	0.21069267529075494	0.07218531131606498	0.05935823416595238	0.12412479871363126	0.163397599590113	0.10713536776239896	0.07475814086853659	0.06464074910889997
